claim_id,npi,provider_name,specialty,state,cpt_code,cpt_desc,icd10_code,diagnosis,place_of_service,year,tot_benes,tot_srvcs,avg_submitted_chrg,avg_allowed_amt,avg_paid_amt,avg_standardized_amt,payment_to_charge_ratio,is_anomaly
69BF2B25,5169497484,Buchanan,Internal Medicine,NC,93306,Echocardiography with doppler,J06.9,Acute upper respiratory infection,Office,2020,45,111,1179.46,657.86,582.43,628.11,0.4938,False
5CE2240D,5856050784,Munoz,Orthopedic Surgery,GA,99232,"Subsequent hospital care, per day",J18.9,"Pneumonia, unspecified",Inpatient Hospital,2020,215,333,220.4,109.41,97.73,101.67,0.4434,False
4F29D1F0,2715133106,Bartlett,Neurology,AZ,85025,Complete blood count (CBC),K21.0,GERD with esophagitis,Inpatient Hospital,2022,195,242,36.67,13.76,12.42,11.43,0.3387,False
E43B72E6,1371850646,Wu,Neurology,MA,99214,"Office visit - established patient, moderate complexity",J18.9,"Pneumonia, unspecified",Inpatient Hospital,2021,322,819,148.71,92.62,70.92,67.99,0.4769,False
5BFD5C70,6917176064,Estrada,Internal Medicine,GA,99232,"Subsequent hospital care, per day",F32.1,Major depressive disorder,Inpatient Hospital,2021,233,603,297.04,178.03,164.37,160.43,0.5534,False
7B5C0497,6018423511,King,Gastroenterology,OH,99223,Initial hospital care - high complexity,F32.1,Major depressive disorder,Outpatient Hospital,2023,274,773,721.09,388.84,297.18,305.2,0.4121,False
35F9228A,3052053764,Brown,Emergency Medicine,MD,36415,Routine venipuncture,J06.9,Acute upper respiratory infection,Emergency Dept,2022,17,51,30.54,18.17,16.45,15.56,0.5386,False
DF0D2B68,2818845310,Kelly,Orthopedic Surgery,MO,99232,"Subsequent hospital care, per day",K21.0,GERD with esophagitis,Outpatient Hospital,2022,74,123,142.53,67.66,62.72,64.51,0.44,False
A60BAB8B,4592430265,Valdez,Psychiatry,MO,31622,"Bronchoscopy, diagnostic",M17.11,"Primary osteoarthritis, right knee",Office,2021,387,432,2766.99,1795.95,1396.65,1394.84,0.5048,False
C4B4E7A4,2444597487,Myers,Pulmonology,AZ,85025,Complete blood count (CBC),N39.0,Urinary tract infection,Office,2020,498,1186,23.81,10.32,9.8,9.86,0.4116,False
26F3C612,2169082769,Peterson,Emergency Medicine,NJ,99291,"Critical care, first 30-74 minutes",E11.9,Type 2 diabetes mellitus,Outpatient Hospital,2020,369,611,634.8,225.58,169.33,176.85,0.2667,False
75C6387A,8423213788,Stewart,Pulmonology,IN,29881,Knee arthroscopy with meniscectomy,N39.0,Urinary tract infection,Office,2022,473,1100,2994.56,1290.27,1009.39,1100.94,0.3371,False
D533D8DA,5086153655,Kelley,Internal Medicine,NY,70553,MRI brain with contrast,K21.0,GERD with esophagitis,Office,2020,450,1088,3660.42,2163.61,1755.78,1600.54,0.4797,False
E2DFDA40,1815006341,Hunter,Family Practice,MD,70553,MRI brain with contrast,M54.5,Low back pain,Outpatient Hospital,2021,447,1124,1559.5,727.27,625.42,596.03,0.401,False
F4FF7A35,2520238647,Carrillo,Psychiatry,VA,29881,Knee arthroscopy with meniscectomy,I25.10,Coronary artery disease,Outpatient Hospital,2021,11,27,6498.07,2976.25,2379.75,2172.25,0.3662,False
B5547C51,2804723870,Brooks,Family Practice,TX,99213,"Office visit - established patient, low complexity",J06.9,Acute upper respiratory infection,Outpatient Hospital,2021,143,382,91.46,28.44,23.21,23.28,0.2538,False
F9E1A7BC,5795786357,Navarro,General Surgery,TN,31622,"Bronchoscopy, diagnostic",J06.9,Acute upper respiratory infection,Emergency Dept,2023,221,416,4246.17,2473.92,1949.65,1792.48,0.4592,False
D2BF9247,1431878033,Henderson,Pulmonology,NY,99214,"Office visit - established patient, moderate complexity",I10,Essential hypertension,Outpatient Hospital,2023,98,229,212.6,89.03,82.12,77.99,0.3863,False
FF144B0D,6895259659,Wright,Emergency Medicine,MA,85025,Complete blood count (CBC),J06.9,Acute upper respiratory infection,Office,2020,51,57,72.47,23.65,21.56,23.09,0.2975,False
1851AA29,2154545213,Wallace,Cardiology,AZ,99285,Emergency dept visit - high complexity,I25.10,Coronary artery disease,Inpatient Hospital,2023,2,6,1273.9,767.69,714.33,666.42,0.5607,False
62C331C8,7779885003,Santiago,Psychiatry,MD,29881,Knee arthroscopy with meniscectomy,I25.10,Coronary artery disease,Inpatient Hospital,2020,278,320,2773.98,1120.27,1057.25,1073.99,0.3811,False
B0768D1C,8634621174,Patterson,General Surgery,TN,99214,"Office visit - established patient, moderate complexity",J18.9,"Pneumonia, unspecified",Office,2021,436,638,331.46,161.05,122.62,122.81,0.3699,False
C5B8A2B0,5237795936,Good,Family Practice,MO,36415,Routine venipuncture,J06.9,Acute upper respiratory infection,Inpatient Hospital,2021,290,669,27.37,8.59,6.58,6.79,0.2404,False
4AB1A102,3718334256,Nelson,Orthopedic Surgery,NC,43239,Upper GI endoscopy with biopsy,M17.11,"Primary osteoarthritis, right knee",Emergency Dept,2020,480,567,1327.2,698.01,587.34,637.74,0.4425,False
2102D7EE,6397685781,Hughes,Radiology,OH,99232,"Subsequent hospital care, per day",J18.9,"Pneumonia, unspecified",Emergency Dept,2022,190,325,153.04,95.9,88.82,95.56,0.5804,False
E766627B,7121249431,Johnson,Pulmonology,IN,45378,"Colonoscopy, diagnostic",I10,Essential hypertension,Office,2020,450,601,2669.66,1319.11,1235.15,1137.22,0.4627,False
889A754C,5847693668,Patterson,Cardiology,NC,99291,"Critical care, first 30-74 minutes",F32.1,Major depressive disorder,Inpatient Hospital,2020,136,307,883.86,487.15,385.2,395.54,0.4358,False
E771EA9E,3069744719,Potter,Pulmonology,AZ,99232,"Subsequent hospital care, per day",F32.1,Major depressive disorder,Emergency Dept,2020,83,236,108.82,45.35,35.2,38.58,0.3235,False
AA3E188D,1489168193,Marshall,Family Practice,PA,93306,Echocardiography with doppler,J18.9,"Pneumonia, unspecified",Office,2022,22,38,861.25,369.67,318.1,313.63,0.3693,False
F4CACDFB,6314448786,Salazar,Pulmonology,GA,80053,Comprehensive metabolic panel,E11.9,Type 2 diabetes mellitus,Outpatient Hospital,2021,384,532,47.99,23.8,22.01,24.1,0.4586,False
ECE3AC33,3262214953,Sanchez,Psychiatry,CA,85025,Complete blood count (CBC),M54.5,Low back pain,Outpatient Hospital,2022,443,1257,64.19,26.72,25.01,26.52,0.3896,False
A2439205,5476399248,Nash,Neurology,NY,85025,Complete blood count (CBC),M17.11,"Primary osteoarthritis, right knee",Outpatient Hospital,2021,236,442,72.33,43.43,34.5,36.68,0.477,False
2B1132B2,5509946153,Howell,Pulmonology,OH,99213,"Office visit - established patient, low complexity",M17.11,"Primary osteoarthritis, right knee",Inpatient Hospital,2020,329,747,135.8,81.82,77.19,73.78,0.5684,False
40CE63D2,0708551986,Allen,Emergency Medicine,IL,93306,Echocardiography with doppler,N39.0,Urinary tract infection,Emergency Dept,2020,374,1109,2436.31,957.26,738.7,729.03,0.3032,False
CD78CED9,7673507151,Bauer,General Surgery,OH,36415,Routine venipuncture,F32.1,Major depressive disorder,Outpatient Hospital,2022,352,985,11.33,5.13,4.38,4.65,0.3866,False
B6E97FA9,6198251996,Patterson,Family Practice,NJ,90837,"Psychotherapy, 60 minutes",N39.0,Urinary tract infection,Inpatient Hospital,2023,159,424,162.78,97.15,86.85,83.38,0.5335,False
A4771108,0076032304,Jones,Radiology,PA,29881,Knee arthroscopy with meniscectomy,J06.9,Acute upper respiratory infection,Emergency Dept,2020,316,765,4102.23,2580.82,2285.22,2469.32,0.5571,False
A5D8F855,5190100650,Savage,Emergency Medicine,OH,29881,Knee arthroscopy with meniscectomy,M17.11,"Primary osteoarthritis, right knee",Emergency Dept,2021,346,530,5928.79,3037.51,2473.9,2445.1,0.4173,False
01E8B309,8113886469,Rivas,Emergency Medicine,IN,99232,"Subsequent hospital care, per day",N39.0,Urinary tract infection,Outpatient Hospital,2020,116,349,167.04,97.96,88.19,91.24,0.528,False
D3B0AF87,0179123449,Macdonald,Orthopedic Surgery,TN,99214,"Office visit - established patient, moderate complexity",N39.0,Urinary tract infection,Emergency Dept,2023,100,279,315.44,102.67,85.51,87.73,0.2711,False
F3F664E5,8291529359,Cooper,Orthopedic Surgery,PA,36415,Routine venipuncture,I10,Essential hypertension,Emergency Dept,2020,113,162,36.78,22.11,20.5,21.64,0.5574,False
757F1B4C,4098578732,Acosta,Orthopedic Surgery,NY,99291,"Critical care, first 30-74 minutes",I25.10,Coronary artery disease,Emergency Dept,2023,163,550,506.67,234.4,200.7,203.07,0.3961,False
94F6D39A,1133447897,Glover,Physical Therapy,IL,99291,"Critical care, first 30-74 minutes",I25.10,Coronary artery disease,Outpatient Hospital,2022,399,918,760.06,428.01,392.9,375.4,0.5169,False
C0C11B73,5622796305,Daniel,Family Practice,MI,97110,Therapeutic exercise,J06.9,Acute upper respiratory infection,Outpatient Hospital,2021,119,232,77.17,31.79,27.28,25.31,0.3535,False
9EAB8CBA,0218703346,Roach,Psychiatry,AZ,99232,"Subsequent hospital care, per day",K21.0,GERD with esophagitis,Office,2023,464,1356,208.52,92.9,73.52,72.35,0.3526,False
8A42C98E,7121932875,Williams,Internal Medicine,VA,70553,MRI brain with contrast,F32.1,Major depressive disorder,Outpatient Hospital,2023,383,1086,3309.73,1981.56,1864.03,1833.84,0.5632,False
DA408891,0174051610,Blackburn,Emergency Medicine,AZ,99285,Emergency dept visit - high complexity,I25.10,Coronary artery disease,Outpatient Hospital,2020,85,263,640.63,267.56,237.01,232.47,0.37,False
68805380,0170846252,Lee,General Surgery,MO,36415,Routine venipuncture,I10,Essential hypertension,Outpatient Hospital,2023,134,260,12.52,5.63,5.2,4.87,0.4153,False
3B958D21,8956649406,Allen,Gastroenterology,WA,43239,Upper GI endoscopy with biopsy,F32.1,Major depressive disorder,Office,2022,10,28,2880.02,1702.59,1362.85,1248.89,0.4732,False
61452666,6947156865,Downs,Pulmonology,FL,99285,Emergency dept visit - high complexity,I10,Essential hypertension,Emergency Dept,2020,79,126,1655.93,1047.15,827.11,747.77,0.4995,False
E5C0DCF1,9289402583,Hall,Orthopedic Surgery,MA,31622,"Bronchoscopy, diagnostic",F32.1,Major depressive disorder,Outpatient Hospital,2022,59,173,4184.14,1500.96,1308.01,1372.87,0.3126,False
0597ECF2,9964619498,Whitaker,General Surgery,CA,93306,Echocardiography with doppler,F32.1,Major depressive disorder,Outpatient Hospital,2020,102,121,1778.85,1098.99,906.73,986.79,0.5097,False
7ADF4909,5071268539,Little,Pulmonology,WI,29881,Knee arthroscopy with meniscectomy,E11.9,Type 2 diabetes mellitus,Inpatient Hospital,2020,339,653,5981.14,2979.06,2258.76,2273.55,0.3776,False
33E132A4,1286254472,Richardson,Physical Therapy,NY,90837,"Psychotherapy, 60 minutes",M17.11,"Primary osteoarthritis, right knee",Inpatient Hospital,2023,223,321,292.16,152.64,139.78,145.58,0.4784,False
EEACDF99,5919850892,Martinez,Psychiatry,MO,97110,Therapeutic exercise,F32.1,Major depressive disorder,Emergency Dept,2023,231,371,82.23,31.73,29.73,28.42,0.3615,False
483D8320,8511053021,Kelly,Internal Medicine,TN,43239,Upper GI endoscopy with biopsy,K21.0,GERD with esophagitis,Inpatient Hospital,2020,451,1123,1454.6,544.37,495.14,479.33,0.3404,False
7B3B5C37,8315609498,House,Orthopedic Surgery,FL,74177,CT abdomen and pelvis with contrast,J06.9,Acute upper respiratory infection,Emergency Dept,2020,331,920,4020.26,1893.55,1707.29,1772.38,0.4247,False
297E8551,3779844179,Marshall,Emergency Medicine,GA,99232,"Subsequent hospital care, per day",M17.11,"Primary osteoarthritis, right knee",Inpatient Hospital,2022,272,505,238.36,97.05,84.08,83.63,0.3527,False
8A952DA9,0988314988,Huber,Emergency Medicine,MI,97110,Therapeutic exercise,F32.1,Major depressive disorder,Outpatient Hospital,2021,487,1414,73.05,40.36,32.82,34.41,0.4493,False
8C45D001,6713745090,Sanders,Neurology,TN,80053,Comprehensive metabolic panel,F32.1,Major depressive disorder,Inpatient Hospital,2021,52,160,72.1,46.27,39.56,37.84,0.5487,False
BAC851FC,7954621340,Mcintyre,Cardiology,MI,99223,Initial hospital care - high complexity,I10,Essential hypertension,Outpatient Hospital,2023,150,411,724.81,249.56,189.44,172.56,0.2614,False
20743A16,9121604215,Sanchez,Internal Medicine,MO,93306,Echocardiography with doppler,F32.1,Major depressive disorder,Office,2020,482,1520,1597.97,725.74,571.07,519.83,0.3574,False
DAEC7702,1332441379,Hansen,Physical Therapy,FL,36415,Routine venipuncture,N39.0,Urinary tract infection,Outpatient Hospital,2020,156,189,28.88,9.21,7.18,7.27,0.2486,False
470A97AB,7296657042,Moore,Psychiatry,WI,99291,"Critical care, first 30-74 minutes",N39.0,Urinary tract infection,Emergency Dept,2022,227,395,1032.59,391.34,334.41,331.1,0.3239,False
