state,provider_count,total_services,avg_payment,avg_charged
NJ,241,144306.0,69.12,169.13
WI,226,121685.0,68.97,170.35
IL,239,136671.0,68.43,170.4
IN,275,155993.0,68.17,168.13
PA,216,132123.0,67.9,169.52
WA,274,152484.0,67.77,165.55
NC,236,133894.0,67.34,163.86
MI,255,143247.0,67.01,163.99
MD,235,129388.0,66.99,161.62
GA,251,139657.0,66.81,166.56
OH,231,126267.0,66.55,165.27
TX,247,135138.0,66.23,163.28
NY,259,147183.0,66.1,164.97
AZ,259,144101.0,65.98,166.8
TN,248,133781.0,65.35,160.52
CA,257,149263.0,65.19,163.82
FL,250,134952.0,65.1,166.05
VA,250,134002.0,64.89,165.23
MO,260,149917.0,64.6,161.79
MA,268,150798.0,64.0,161.37
